Sector:,Liquid Propane Gas (LPG),,SRGC Semi Refrigerated,,,,
Input Sheet:,Fleet Data,,,,,,
Fleet:,SRGC-Semi Refrigerated Gas Carrier,,,,,,
Frequency:,Weekly (Friday),,,,,,
Quandl:,LPG_R/ETHGC,,,,,,
,,,,,,,
Conventions,,,,,,,
  Data are as of close of business on Fridays.,,,,,,,
"  Sources identify the document, site or origin where you got the data. If there are serveral of these, list them like this:  count from OneSource, dwt from AnotherSource",,,,,,,
  CBM values are the total for all vessels counted in reporting period.,,,,,,,
"  Generally these vessels are usuall carry cargo in the 10,000 CBM range.",,,,,,,
,,,,,,,
Date,Deliveries,Deliveries CBM,Demolitions,Demolitions CBM,New Orders,New Orders CBM,Sources
31-Mar-10,0,0,0,0,0,0,Missing
7-Apr-10,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated April 7, 2010"
14-Apr-10,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated April 14, 2010"
21-Apr-10,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated April 21, 2010 "
28-Apr-10,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated April 28, 2010"
5-May-10,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated May 5, 2010"
12-May-10,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated May 12, 2010"
19-May-10,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated May 19, 2010"
26-May-10,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated May 26, 2010"
2-Jun-10,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated June 2, 2010"
9-Jun-10,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated June 9, 2010"
16-Jun-10,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated June 16, 2010"
23-Jun-10,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated June 23, 2010"
30-Jun-10,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated June 30, 2010"
7-Jul-10,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated July 7, 2010"
14-Jul-10,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated July 14, 2010"
21-Jul-10,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated July 21, 2010"
28-Jul-10,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated July 28, 2010"
4-Aug-10,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated August 4, 2010"
11-Aug-10,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated August 11, 2010"
18-Aug-10,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated August 18, 2010"
25-Aug-10,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated August 25, 2010"
1-Sep-10,0,0,0,0,8,"96,000","Fearnley Weekly Report pdf dated September 1, 2010 (""LPG/Ety"" Woodside Holding, 8, 12000, 2012-2013)"
8-Sep-10,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated September 8, 2010"
15-Sep-10,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated September 15, 2012"
22-Sep-10,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated September 22, 2010"
29-Sep-10,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated September 29, 2010"
6-Oct-10,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated October 6, 2010"
13-Oct-10,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated October 13, 2010"
20-Oct-10,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated October 20, 2010"
27-Oct-10,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated October 27, 2010"
3-Nov-10,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated November 3, 2010"
10-Nov-10,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated November 10, 2010"
17-Nov-10,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated November 17, 2010"
24-Nov-10,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated November 24, 2010"
1-Dec-10,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated December 1, 2010"
8-Dec-10,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated December 8, 2010 "
15-Dec-10,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated December 15, 2010"
22-Dec-10,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated December 22, 2010"
29-Dec-10,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated December 29, 2010"
5-Jan-11,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated January 5, 2011"
12-Jan-11,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated January 12, 2011"
19-Jan-11,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated January 19, 2011"
26-Jan-11,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated January 26, 2011"
2-Feb-11,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated February 2, 2011"
9-Feb-11,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated February 9, 2011"
16-Feb-11,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated February 16, 2011"
23-Feb-11,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated February 23, 2011"
2-Mar-11,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated March 2, 2011"
9-Mar-11,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated March 9, 2011"
16-Mar-11,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated March 16, 2011"
23-Mar-11,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated March 23, 2011"
30-Mar-11,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated March 30, 2011"
6-Apr-11,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated April 6, 2011"
13-Apr-11,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated April 13, 2011"
20-Apr-11,0,0,0,0,0,0,missing
27-Apr-11,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated April 27, 2011 "
4-May-11,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated May 4, 2011"
11-May-11,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated May 11, 2011"
18-May-11,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated May 18, 2011"
25-May-11,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated May 25, 2011"
1-Jun-11,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated June 1, 2011"
8-Jun-11,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated June 8, 2011"
15-Jun-11,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated June 15, 2011"
22-Jun-11,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated June 22, 2011"
29-Jun-11,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated June 29, 2011"
6-Jul-11,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated July 6, 2011"
13-Jul-11,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated July 13, 2011"
20-Jul-11,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated July 20, 2011"
27-Jul-11,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated July 27, 2011"
3-Aug-11,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated August 3, 2011"
10-Aug-11,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated August 10, 2011"
17-Aug-11,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated August 21, 2011"
24-Aug-11,0,0,0,0,0,0,missing
31-Aug-11,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated August 31, 2011"
7-Sep-11,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated September 7, 2011"
14-Sep-11,0,0,0,0,0,0," Fearnley Weekly Report pdf dated September 14, 2011"
21-Sep-11,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated September 21, 2011"
28-Sep-11,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated September 28, 2011"
5-Oct-11,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated October 5, 2011"
12-Oct-11,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated October 12, 2011"
19-Oct-11,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated October 19, 2011"
26-Oct-11,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated October 26, 2011"
2-Nov-11,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated November 2, 2011"
9-Nov-11,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated November 9, 2011"
16-Nov-11,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated November 16, 2011"
23-Nov-11,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated November 23, 2011"
30-Nov-11,0,0,0,0,1,"6,500","Fearnley Weekly Report pdf dated November 30, 2011 (""ETH"" Nanjing Tankers, 1, 6500CBM, 2013)"
7-Dec-11,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated December 7, 2011"
14-Dec-11,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated December 14, 2011"
21-Dec-11,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated December 21, 2011"
28-Dec-11,0,0,0,0,0,0,missing
4-Jan-12,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated January 4, 2012"
11-Jan-12,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated January 11, 2012"
18-Jan-12,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated January 18, 2012"
25-Jan-12,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated January  25, 2012"
1-Feb-12,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated February 1, 2012"
8-Feb-12,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated February 8, 2012 "
