Quandl Code|Date|PMT|TCE
 OTKR_R/VLCC_TD3_TCE|2000-Aug-17|17.04| 76,490 
 OTKR_R/VLCC_TD3_TCE|2000-Aug-18|16.83| 75,297 
 OTKR_R/VLCC_TD3_TCE|2000-Aug-21|16.94| 75,817 
 OTKR_R/VLCC_TD3_TCE|2000-Aug-22|16.83| 75,195 
 OTKR_R/VLCC_TD3_TCE|2000-Aug-23|16.72| 74,573 
 OTKR_R/VLCC_TD3_TCE|2000-Aug-24|16.72| 74,522 
 OTKR_R/VLCC_TD3_TCE|2000-Aug-25|16.40| 72,802 
 OTKR_R/VLCC_TD3_TCE|2000-Aug-29|16.19| 71,660 
 OTKR_R/VLCC_TD3_TCE|2000-Aug-30|16.29| 72,231 
 OTKR_R/VLCC_TD3_TCE|2000-Aug-31|15.97| 70,518 
 OTKR_R/VLCC_TD3_TCE|2000-Sep-01|15.65| 68,805 
 OTKR_R/VLCC_TD3_TCE|2000-Sep-04|15.44| 67,663 
 OTKR_R/VLCC_TD3_TCE|2000-Sep-05|15.12| 65,950 
 OTKR_R/VLCC_TD3_TCE|2000-Sep-06|15.01| 65,306 
 OTKR_R/VLCC_TD3_TCE|2000-Sep-07|14.90| 64,663 
 OTKR_R/VLCC_TD3_TCE|2000-Sep-08|14.15| 60,593 
 OTKR_R/VLCC_TD3_TCE|2000-Sep-11|14.15| 60,520 
 OTKR_R/VLCC_TD3_TCE|2000-Sep-12|14.26| 61,018 
 OTKR_R/VLCC_TD3_TCE|2000-Sep-13|14.26| 60,946 
 OTKR_R/VLCC_TD3_TCE|2000-Sep-14|14.26| 60,873 
 OTKR_R/VLCC_TD3_TCE|2000-Sep-15|14.69| 63,084 
 OTKR_R/VLCC_TD3_TCE|2000-Sep-18|15.01| 64,724 
 OTKR_R/VLCC_TD3_TCE|2000-Sep-19|15.22| 65,793 
 OTKR_R/VLCC_TD3_TCE|2000-Sep-20|15.33| 66,292 
 OTKR_R/VLCC_TD3_TCE|2000-Sep-21|15.97| 69,645 
 OTKR_R/VLCC_TD3_TCE|2000-Sep-22|16.29| 71,321 
 OTKR_R/VLCC_TD3_TCE|2000-Sep-25|16.51| 72,427 
 OTKR_R/VLCC_TD3_TCE|2000-Sep-26|16.51| 72,391 
 OTKR_R/VLCC_TD3_TCE|2000-Sep-27|15.76| 68,357 
 OTKR_R/VLCC_TD3_TCE|2000-Sep-28|15.65| 67,750 
 OTKR_R/VLCC_TD3_TCE|2000-Sep-29|15.44| 66,572 
 OTKR_R/VLCC_TD3_TCE|2000-Oct-02|15.44| 66,535 
 OTKR_R/VLCC_TD3_TCE|2000-Oct-03|15.22| 65,357 
 OTKR_R/VLCC_TD3_TCE|2000-Oct-04|15.12| 64,749 
 OTKR_R/VLCC_TD3_TCE|2000-Oct-05|14.90| 63,571 
 OTKR_R/VLCC_TD3_TCE|2000-Oct-06|13.94| 58,505 
 OTKR_R/VLCC_TD3_TCE|2000-Oct-09|13.83| 58,007 
 OTKR_R/VLCC_TD3_TCE|2000-Oct-10|13.19| 54,654 
 OTKR_R/VLCC_TD3_TCE|2000-Oct-11|12.65| 51,872 
 OTKR_R/VLCC_TD3_TCE|2000-Oct-12|12.65| 51,944 
 OTKR_R/VLCC_TD3_TCE|2000-Oct-13|12.76| 52,588 
 OTKR_R/VLCC_TD3_TCE|2000-Oct-16|12.97| 53,803 
 OTKR_R/VLCC_TD3_TCE|2000-Oct-17|13.94| 59,014 
 OTKR_R/VLCC_TD3_TCE|2000-Oct-18|15.44| 67,081 
 OTKR_R/VLCC_TD3_TCE|2000-Oct-19|16.19| 71,078 
 OTKR_R/VLCC_TD3_TCE|2000-Oct-20|17.15| 76,217 
 OTKR_R/VLCC_TD3_TCE|2000-Oct-23|18.01| 80,785 
 OTKR_R/VLCC_TD3_TCE|2000-Oct-24|18.65| 84,210 
 OTKR_R/VLCC_TD3_TCE|2000-Oct-25|18.76| 84,781 
 OTKR_R/VLCC_TD3_TCE|2000-Oct-26|18.12| 81,356 
 OTKR_R/VLCC_TD3_TCE|2000-Oct-27|18.12| 81,356 
 OTKR_R/VLCC_TD3_TCE|2000-Oct-30|18.01| 80,785 
 OTKR_R/VLCC_TD3_TCE|2000-Oct-31|18.12| 81,356 
 OTKR_R/VLCC_TD3_TCE|2000-Nov-01|18.01| 80,785 
 OTKR_R/VLCC_TD3_TCE|2000-Nov-02|18.22| 81,927 
 OTKR_R/VLCC_TD3_TCE|2000-Nov-03|18.22| 81,927 
 OTKR_R/VLCC_TD3_TCE|2000-Nov-06|18.33| 82,498 
 OTKR_R/VLCC_TD3_TCE|2000-Nov-07|18.33| 82,498 
 OTKR_R/VLCC_TD3_TCE|2000-Nov-08|18.22| 81,927 
 OTKR_R/VLCC_TD3_TCE|2000-Nov-09|17.80| 79,861 
 OTKR_R/VLCC_TD3_TCE|2000-Nov-10|17.90| 80,650 
 OTKR_R/VLCC_TD3_TCE|2000-Nov-13|18.01| 81,440 
 OTKR_R/VLCC_TD3_TCE|2000-Nov-14|18.33| 83,371 
 OTKR_R/VLCC_TD3_TCE|2000-Nov-15|19.08| 87,586 
 OTKR_R/VLCC_TD3_TCE|2000-Nov-16|19.19| 88,375 
 OTKR_R/VLCC_TD3_TCE|2000-Nov-17|19.51| 90,307 
 OTKR_R/VLCC_TD3_TCE|2000-Nov-20|19.83| 92,238 
 OTKR_R/VLCC_TD3_TCE|2000-Nov-21|19.83| 92,456 
 OTKR_R/VLCC_TD3_TCE|2000-Nov-22|19.83| 92,674 
 OTKR_R/VLCC_TD3_TCE|2000-Nov-23|19.83| 92,893 
 OTKR_R/VLCC_TD3_TCE|2000-Nov-24|19.83| 93,111 
 OTKR_R/VLCC_TD3_TCE|2000-Nov-27|19.51| 91,616 
 OTKR_R/VLCC_TD3_TCE|2000-Nov-28|19.30| 90,693 
 OTKR_R/VLCC_TD3_TCE|2000-Nov-29|19.40| 91,482 
 OTKR_R/VLCC_TD3_TCE|2000-Nov-30|19.40| 91,700 
 OTKR_R/VLCC_TD3_TCE|2000-Dec-01|18.76| 88,275 
 OTKR_R/VLCC_TD3_TCE|2000-Dec-04|18.55| 87,133 
 OTKR_R/VLCC_TD3_TCE|2000-Dec-05|18.33| 85,991 
 OTKR_R/VLCC_TD3_TCE|2000-Dec-06|17.58| 81,994 
 OTKR_R/VLCC_TD3_TCE|2000-Dec-07|17.26| 80,062 
 OTKR_R/VLCC_TD3_TCE|2000-Dec-08|17.26| 80,062 
 OTKR_R/VLCC_TD3_TCE|2000-Dec-11|17.15| 79,273 
 OTKR_R/VLCC_TD3_TCE|2000-Dec-12|17.26| 79,844 
 OTKR_R/VLCC_TD3_TCE|2000-Dec-13|16.94| 78,131 
 OTKR_R/VLCC_TD3_TCE|2000-Dec-14|16.72| 76,989 
 OTKR_R/VLCC_TD3_TCE|2000-Dec-15|16.51| 75,847 
 OTKR_R/VLCC_TD3_TCE|2000-Dec-18|16.62| 76,418 
 OTKR_R/VLCC_TD3_TCE|2000-Dec-19|16.51| 75,847 
 OTKR_R/VLCC_TD3_TCE|2000-Dec-20|16.40| 75,276 
 OTKR_R/VLCC_TD3_TCE|2000-Dec-21|16.51| 75,847 
 OTKR_R/VLCC_TD3_TCE|2000-Dec-22|16.40| 75,276 
 OTKR_R/VLCC_TD3_TCE|2000-Dec-27|16.40| 75,276 
 OTKR_R/VLCC_TD3_TCE|2000-Dec-28|16.40| 75,276 
 OTKR_R/VLCC_TD3_TCE|2000-Dec-29|16.29| 74,705 
 OTKR_R/VLCC_TD3_TCE|2001-Jan-02|16.15| 73,906 
 OTKR_R/VLCC_TD3_TCE|2001-Jan-03|16.28| 74,578 
 OTKR_R/VLCC_TD3_TCE|2001-Jan-04|16.03| 73,234 
 OTKR_R/VLCC_TD3_TCE|2001-Jan-05|15.90| 72,562 
 OTKR_R/VLCC_TD3_TCE|2001-Jan-08|15.40| 69,873 
 OTKR_R/VLCC_TD3_TCE|2001-Jan-09|15.02| 67,857 
 OTKR_R/VLCC_TD3_TCE|2001-Jan-10|14.64| 65,840 
 OTKR_R/VLCC_TD3_TCE|2001-Jan-11|14.39| 64,496 
 OTKR_R/VLCC_TD3_TCE|2001-Jan-12|14.13| 63,151 
 OTKR_R/VLCC_TD3_TCE|2001-Jan-15|14.13| 63,151 
 OTKR_R/VLCC_TD3_TCE|2001-Jan-16|14.01| 62,479 
 OTKR_R/VLCC_TD3_TCE|2001-Jan-17|13.88| 61,807 
 OTKR_R/VLCC_TD3_TCE|2001-Jan-18|13.50| 59,790 
 OTKR_R/VLCC_TD3_TCE|2001-Jan-19|13.12| 57,774 
 OTKR_R/VLCC_TD3_TCE|2001-Jan-22|13.00| 57,102 
 OTKR_R/VLCC_TD3_TCE|2001-Jan-23|12.62| 55,085 
 OTKR_R/VLCC_TD3_TCE|2001-Jan-24|11.74| 50,380 
 OTKR_R/VLCC_TD3_TCE|2001-Jan-25|11.48| 49,035 
 OTKR_R/VLCC_TD3_TCE|2001-Jan-26|11.48| 49,035 
 OTKR_R/VLCC_TD3_TCE|2001-Jan-29|10.98| 46,347 
 OTKR_R/VLCC_TD3_TCE|2001-Jan-30|10.60| 44,330 
 OTKR_R/VLCC_TD3_TCE|2001-Jan-31|10.47| 43,658 
 OTKR_R/VLCC_TD3_TCE|2001-Feb-01|10.47| 43,658 
 OTKR_R/VLCC_TD3_TCE|2001-Feb-02|10.73| 45,002 
 OTKR_R/VLCC_TD3_TCE|2001-Feb-05|10.98| 46,347 
 OTKR_R/VLCC_TD3_TCE|2001-Feb-06|11.36| 48,363 
 OTKR_R/VLCC_TD3_TCE|2001-Feb-07|11.36| 48,363 
 OTKR_R/VLCC_TD3_TCE|2001-Feb-08|11.36| 48,363 
 OTKR_R/VLCC_TD3_TCE|2001-Feb-09|11.48| 49,035 
 OTKR_R/VLCC_TD3_TCE|2001-Feb-12|11.48| 49,035 
 OTKR_R/VLCC_TD3_TCE|2001-Feb-13|11.48| 49,035 
 OTKR_R/VLCC_TD3_TCE|2001-Feb-14|11.61| 49,708 
 OTKR_R/VLCC_TD3_TCE|2001-Feb-15|11.61| 49,708 
 OTKR_R/VLCC_TD3_TCE|2001-Feb-16|11.61| 49,708 
 OTKR_R/VLCC_TD3_TCE|2001-Feb-19|11.48| 49,035 
 OTKR_R/VLCC_TD3_TCE|2001-Feb-20|11.36| 48,363 
 OTKR_R/VLCC_TD3_TCE|2001-Feb-21|11.48| 49,035 
 OTKR_R/VLCC_TD3_TCE|2001-Feb-22|11.61| 49,708 
 OTKR_R/VLCC_TD3_TCE|2001-Feb-23|11.48| 49,035 
 OTKR_R/VLCC_TD3_TCE|2001-Feb-26|11.48| 49,035 
 OTKR_R/VLCC_TD3_TCE|2001-Feb-27|11.36| 48,363 
 OTKR_R/VLCC_TD3_TCE|2001-Feb-28|11.48| 49,035 
 OTKR_R/VLCC_TD3_TCE|2001-Mar-01|11.61| 49,708 
 OTKR_R/VLCC_TD3_TCE|2001-Mar-02|11.74| 50,380 
 OTKR_R/VLCC_TD3_TCE|2001-Mar-05|11.86| 51,052 
 OTKR_R/VLCC_TD3_TCE|2001-Mar-06|11.61| 49,708 
 OTKR_R/VLCC_TD3_TCE|2001-Mar-07|11.86| 51,052 
 OTKR_R/VLCC_TD3_TCE|2001-Mar-08|11.86| 51,052 
 OTKR_R/VLCC_TD3_TCE|2001-Mar-09|11.99| 51,724 
 OTKR_R/VLCC_TD3_TCE|2001-Mar-12|11.99| 51,724 
 OTKR_R/VLCC_TD3_TCE|2001-Mar-13|12.24| 53,069 
 OTKR_R/VLCC_TD3_TCE|2001-Mar-14|12.37| 53,741 
 OTKR_R/VLCC_TD3_TCE|2001-Mar-15|12.49| 54,413 
 OTKR_R/VLCC_TD3_TCE|2001-Mar-16|12.75| 55,757 
 OTKR_R/VLCC_TD3_TCE|2001-Mar-19|12.87| 56,429 
 OTKR_R/VLCC_TD3_TCE|2001-Mar-20|13.50| 59,790 
 OTKR_R/VLCC_TD3_TCE|2001-Mar-21|13.38| 58,827 
 OTKR_R/VLCC_TD3_TCE|2001-Mar-22|13.38| 58,827 
 OTKR_R/VLCC_TD3_TCE|2001-Mar-23|13.12| 57,483 
 OTKR_R/VLCC_TD3_TCE|2001-Mar-26|13.12| 57,483 
 OTKR_R/VLCC_TD3_TCE|2001-Mar-27|13.00| 56,811 
 OTKR_R/VLCC_TD3_TCE|2001-Mar-28|13.00| 56,811 
 OTKR_R/VLCC_TD3_TCE|2001-Mar-29|13.00| 56,811 
 OTKR_R/VLCC_TD3_TCE|2001-Mar-30|13.00| 56,811 
 OTKR_R/VLCC_TD3_TCE|2001-Apr-02|12.87| 56,138 
 OTKR_R/VLCC_TD3_TCE|2001-Apr-03|12.75| 55,466 
 OTKR_R/VLCC_TD3_TCE|2001-Apr-04|12.75| 55,466 
 OTKR_R/VLCC_TD3_TCE|2001-Apr-05|12.12| 52,105 
 OTKR_R/VLCC_TD3_TCE|2001-Apr-06|12.12| 51,887 
 OTKR_R/VLCC_TD3_TCE|2001-Apr-09|11.99| 51,215 
 OTKR_R/VLCC_TD3_TCE|2001-Apr-10|11.74| 49,870 
 OTKR_R/VLCC_TD3_TCE|2001-Apr-11|11.36| 47,854 
 OTKR_R/VLCC_TD3_TCE|2001-Apr-12|11.36| 47,854 
 OTKR_R/VLCC_TD3_TCE|2001-Apr-17|10.85| 45,165 
 OTKR_R/VLCC_TD3_TCE|2001-Apr-18|10.85| 45,165 
 OTKR_R/VLCC_TD3_TCE|2001-Apr-19|10.22| 41,804 
 OTKR_R/VLCC_TD3_TCE|2001-Apr-20|9.84| 39,788 
 OTKR_R/VLCC_TD3_TCE|2001-Apr-23|9.72| 38,752 
 OTKR_R/VLCC_TD3_TCE|2001-Apr-24|9.59| 38,007 
 OTKR_R/VLCC_TD3_TCE|2001-Apr-25|8.71| 33,156 
 OTKR_R/VLCC_TD3_TCE|2001-Apr-26|7.32| 25,762 
 OTKR_R/VLCC_TD3_TCE|2001-Apr-27|7.45| 26,434 
 OTKR_R/VLCC_TD3_TCE|2001-Apr-30|7.19| 25,090 
 OTKR_R/VLCC_TD3_TCE|2001-May-01|7.19| 25,017 
 OTKR_R/VLCC_TD3_TCE|2001-May-02|7.45| 26,289 
 OTKR_R/VLCC_TD3_TCE|2001-May-03|7.57| 26,888 
 OTKR_R/VLCC_TD3_TCE|2001-May-04|7.95| 28,832 
 OTKR_R/VLCC_TD3_TCE|2001-May-08|7.70| 27,415 
 OTKR_R/VLCC_TD3_TCE|2001-May-09|7.70| 27,342 
 OTKR_R/VLCC_TD3_TCE|2001-May-10|7.70| 27,269 
 OTKR_R/VLCC_TD3_TCE|2001-May-11|7.70| 27,342 
 OTKR_R/VLCC_TD3_TCE|2001-May-14|7.70| 27,415 
 OTKR_R/VLCC_TD3_TCE|2001-May-15|7.57| 26,815 
 OTKR_R/VLCC_TD3_TCE|2001-May-16|7.45| 26,216 
 OTKR_R/VLCC_TD3_TCE|2001-May-17|7.32| 25,616 
 OTKR_R/VLCC_TD3_TCE|2001-May-18|7.32| 25,689 
 OTKR_R/VLCC_TD3_TCE|2001-May-21|7.19| 25,090 
 OTKR_R/VLCC_TD3_TCE|2001-May-22|7.57| 27,179 
