Sector:,Liquid Propane Gas (LPG),,Medium Semi Refrigerated,,,,
Input Sheet:,Fleet Data,,,,,,
Fleet:,MGC-Semi Refrigerated Gas Carrier,,,,,,
Frequency:,Weekly (Friday),,,,,,
,,,,,,,
,,,,,,,
Conventions,,,,,,,
  Data are as of close of business on Fridays.,,,,,,,
"  Sources identify the document, site or origin where you got the data. If there are serveral of these, list them like this:  count from OneSource, dwt from AnotherSource",,,,,,,
  CBM values are the total for all vessels counted in reporting period.,,,,,,,
"  Generally these vessels are usuall carry cargo in the 22,000 CBM range.",,,,,,,
,,,,,,,
Date,Deliveries,Deliveries CBM,Demolitions,Demolitions CBM,New Orders,New Orders CBM,Sources
29-Apr-09,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated April 29, 2009"
6-May-09,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated May 6, 2009"
13-May-09,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated May 13, 2009"
20-May-09,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated May 20, 2009 ( Demolition 1 LPG 54226)"
27-May-09,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated May 27, 2009 (Demoltion 1 LPG 74300)"
3-Jun-09,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated June 3, 2009"
10-Jun-09,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated June 10, 2009"
17-Jun-09,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated June 17, 2009"
24-Jun-09,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated June 24, 2009 (Demolition 1 LPG 8309)"
1-Jul-09,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated July 1, 2009"
8-Jul-09,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated July 8, 2009"
15-Jul-09,0,0,1,"31,485",0,0,"Fearnley Weekly Report pdf dated July 15, 2009 (Demolition 1 LPG 31485)"
22-Jul-09,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated July 22, 2009"
29-Jul-09,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated July 29, 2009"
5-Aug-09,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated August 5, 2009"
12-Aug-09,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated August 12, 2009"
19-Aug-09,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated August 19, 2009"
26-Aug-09,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated August 26, 2009"
2-Sep-09,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated September 2, 2009"
9-Sep-09,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated Sepptember 9, 2009 ( Demolition 1 LPG 13935)"
16-Sep-09,0,0,0,0,0,0,missing
23-Sep-09,0,0,0,0,0,0,missing
30-Sep-09,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated September 30, 2009"
7-Oct-09,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated October 7, 2009"
14-Oct-09,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated October 14, 2009 ( Demolition 1 LPG 6082)"
21-Oct-09,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated October 21, 2009"
28-Oct-09,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated October 28, 2009 ( NITC 2 9500 2012)"
4-Nov-09,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated November 4, 2009"
11-Nov-09,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated November 11, 2009"
18-Nov-09,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated November 18, 2009"
25-Nov-09,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated November 25, 2009"
2-Dec-09,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated December 2, 2009"
9-Dec-09,0,0,0,0,0,0,missing
16-Dec-09,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated December 16, 2009 (Demolition 1 LPG 43481"
23-Dec-09,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated December 23, 2009"
30-Dec-09,0,0,0,0,0,0,Missing
6-Jan-10,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated January 6, 2010"
13-Jan-10,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated January 13, 2010"
20-Jan-10,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated January 20, 2010"
27-Jan-10,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated January 27, 2010"
3-Feb-10,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated February 3, 2010"
10-Feb-10,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated February 10, 2010 (Demolition 3 GC  14665, 11464, 18530)"
17-Feb-10,0,0,2,"44,998",0,0,"Fearnley Weekly Report pdf dated February 17, 2010 ( Shenzhen Southern China 3 3500 2011, Demolition 3 GC 8600, 22499, 22499)"
24-Feb-10,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated February 24, 2010 (demolition 1 LPG 47473)"
3-Mar-10,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated March 3, 2010"
10-Mar-10,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated March 10, 2010"
17-Mar-10,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated March 17, 2010"
24-Mar-10,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated March 24, 2010 ( Anthony Veder 3 6500 2011-2012)"
31-Mar-10,0,0,0,0,0,0,Missing
7-Apr-10,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated April 7, 2010"
14-Apr-10,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated April 14, 2010 ( Demolition 2 LPGs 7770, 6975)"
21-Apr-10,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated April 21, 2010 ( Transpetro 2 4000, 4 7000, 2 12000 Del N/A)"
28-Apr-10,0,0,0,0,2,"41,200","Fearnley Weekly Report pdf dated April 28, 2010  (Sloman Neptun  2011)"
5-May-10,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated May 5, 2010 ( Demolition LPG 11485) "
12-May-10,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated May 12, 2010 ( demolition GC 8352)"
19-May-10,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated May 19, 2010"
26-May-10,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated May 26, 2010"
2-Jun-10,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated June 2, 2010"
9-Jun-10,0,0,0,0,1,"22,500","Fearnley Weekly Report pdf dated June 9, 2010 ( Pertamina 2011)"
16-Jun-10,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated June 16, 2010"
23-Jun-10,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated June 23, 2010"
30-Jun-10,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated June 30, 2010 ( Dem 2 GC 14650, 14279)"
7-Jul-10,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated July 7, 2010 ( dem 1 GC 14900)"
14-Jul-10,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated July 14, 2010"
21-Jul-10,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated July 21, 2010"
28-Jul-10,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated July 28, 2010 ( Lehnkering 2240 2011"
4-Aug-10,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated August 4, 2010"
11-Aug-10,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated August 11, 2010"
18-Aug-10,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated August 18, 2010 ( AnthonyVeder 3 7500 2012-2013 Demolition 2 LPGs 63258, 54158)"
25-Aug-10,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated August 25, 2010"
