Date,Spot Market ($/day)
26-Mar-14,"$31,667"
2-Apr-14,"$31,667"
9-Apr-14,"$31,667"
16-Apr-14,"$31,667"
23-Apr-14,"$31,667"
30-Apr-14,"$31,667"
7-May-14,"$31,667"
14-May-14,"$31,667"
21-May-14,"$31,667"
28-May-14,"$31,667"
4-Jun-14,"$31,667"
11-Jun-14,"$31,667"
18-Jun-14,"$31,667"
25-Jun-14,"$31,667"
2-Jul-14,"$30,667"
9-Jul-14,"$31,667"
16-Jul-14,"$32,500"
23-Jul-14,"$33,333"
30-Jul-14,"$33,333"
6-Aug-14,"$33,333"
13-Aug-14,"$33,333"
20-Aug-14,"$33,333"
27-Aug-14,"$33,333"
3-Sep-14,"$33,333"
10-Sep-14,"$33,333"
17-Sep-14,"$33,333"
24-Sep-14,#N/A
1-Oct-14,"$33,333"
8-Oct-14,"$33,333"
15-Oct-14,"$33,333"
22-Oct-14,"$33,333"
29-Oct-14,"$33,167"
5-Nov-14,"$33,167"
12-Nov-14,"$33,167"
19-Nov-14,"$33,167"
26-Nov-14,"$33,167"
3-Dec-14,"$33,167"
10-Dec-14,"$33,167"
17-Dec-14,"$33,167"
24-Dec-14,#N/A
31-Dec-14,#N/A
7-Jan-15,"$31,667"
14-Jan-15,"$31,667"
21-Jan-15,#N/A
6/20/12,"$28,333"
6/27/12,"$28,333"
7/4/12,"$28,333"
7/11/12,"$28,333"
7/18/12,"$28,333"
7/25/12,"$28,333"
8/1/12,"$27,500"
8/8/12,"$26,667"
8/15/12,"$26,667"
8/22/12,"$26,667"
8/29/12,"$25,833"
9/5/12,"$25,833"
9/12/12,"$25,833"
9/19/12,"$25,000"
9/26/12,"$25,000"
10/3/12,"$25,000"
10/10/12,"$25,000"
10/17/12,"$26,667"
10/24/12,"$27,500"
10/31/12,"$28,333"
11/7/12,"$28,333"
11/14/12,"$28,333"
11/21/12,"$28,333"
11/28/12,"$28,333"
12/5/12,"$28,333"
12/12/12,"$28,667"
12/19/12,"$28,333"
12/26/12,"$28,333"
1/2/13,"$28,333"
1/9/13,"$28,333"
1/16/13,"$28,333"
1/23/13,"$28,333"
1/30/13,"$28,333"
2/6/13,"$28,333"
2/13/13,"$28,333"
2/20/13,"$28,333"
2/27/13,"$28,333"
3/6/13,"$28,333"
3/13/13,"$27,500"
3/20/13,"$27,500"
3/27/13,
4/3/13,"$27,500"
4/10/13,"$26,667"
4/17/13,"$26,667"
4/24/13,"$25,000"
5/1/13,
5/8/13,"$24,167"
5/15/13,"$24,167"
5/22/13,"$24,167"
5/29/13,"$24,167"
6/5/13,"$25,000"
6/12/13,"$25,000"
6/19/13,"$25,833"
6/26/13,"$26,667"
7/3/13,"$27,500"
7/10/13,"$27,500"
7/17/13,"$27,500"
7/24/13,"$27,500"
7/31/13,"$27,500"
8/7/13,"$27,500"
8/14/13,"$27,500"
8/21/13,"$27,500"
8/28/13,"$26,667"
9/4/13,"$28,333"
9/11/13,"$28,333"
9/18/13,"$28,333"
9/25/13,"$28,333"
10/2/13,"$28,333"
10/9/13,"$28,333"
10/16/13,"$28,333"
10/23/13,"$28,333"
10/30/13,"$28,333"
11/6/13,"$28,333"
11/13/13,"$28,333"
11/20/13,"$28,333"
11/27/13,"$28,333"
12/4/13,"$28,333"
12/11/13,"$28,333"
12/18/13,"$28,333"
12/25/13,"$28,333"
1/1/14,"$28,333"
1/8/14,"$28,333"
1/15/14,"$28,333"
1/22/14,"$28,333"
1/29/14,"$28,333"
2/5/14,"$28,333"
2/12/14,"$28,333"
2/19/14,"$28,333"
2/26/14,"$28,333"
3/5/14,"$28,333"
3/12/14,"$28,333"
3/19/14,"$28,333"
3/26/14,"$29,167"
4/2/14,"$29,167"
4/9/14,"$29,167"
4/16/14,"$30,000"
4/23/14,"$30,000"
4/30/14,"$30,000"
5/7/14,"$30,000"
5/14/14,"$30,000"
5/21/14,"$30,000"
5/28/14,"$30,000"
6/4/14,"$30,000"
6/11/14,"$30,000"
6/18/14,"$30,000"
6/25/14,"$30,000"
7/2/14,"$30,000"
7/9/14,"$31,667"
7/16/14,"$31,667"
7/23/14,"$32,500"
7/30/14,"$33,333"
8/6/14,"$33,167"
8/13/14,"$33,167"
8/20/14,"$33,167"
8/27/14,"$33,333"
9/3/14,"$33,333"
9/10/14,"$33,333"
9/17/14,"$35,000"
9/24/14,"$35,833"
10/1/14,"$35,833"
10/8/14,"$35,833"
10/15/14,"$35,833"
10/22/14,"$35,833"
10/29/14,"$35,833"
11/5/14,"$35,833"
11/12/14,"$35,833"
11/19/14,"$35,833"
11/26/14,"$35,833"
12/3/14,"$35,833"
12/10/14,"$35,833"
12/17/14,"$35,833"
12/24/14,
12/31/14,
1/7/15,"$34,167"
1/14/15,"$34,167"
1/21/15,
1/28/15,
2/4/15,"$33,333"
2/11/15,"$33,333"
2/18/15,"$33,333"
2/25/15,"$35,000"
3/4/15,"$35,000"
3/11/15,"$35,000"
3/18/15,"$35,000"
3/25/15,"$35,000"
4/1/15,
4/8/15,"$35,000"
4/15/15,"$35,833"
4/22/15,"$35,833"
4/29/15,
5/6/15,"$35,833"
5/13/15,"$35,833"
5/20/15,"$28,333"
5/27/15,
6/3/15,
6/10/15,
