Sector:,Liquified Propane Gas (LPG),EGC-FR Master Rates,,,
Input Sheet:,Rate Data,,,,
Fleet:,EGC-Ethanol Carriers,,,,
Frequency:,Weekly (Friday),,,,
Quandl:,LPG_R/ETHGC,,,,
,,,,,
Conventions,,,,,
  Data are as of close of business on Fridays.,,,,,
"  Sources identify the document, site or origin where you got the data. If there are serveral of these, list them like this:  count from OneSource, dwt from AnotherSource",,,,,
  A price of $0 normally means no data for that date.,,,,,
,,,,,
,,,,,
Date,Spot Market ($/day),t.b.d.,t.b.d.,t.b.d.,Sources
7/16/2014,"$18,333 ",$0 ,$0 ,$0 ,
7/23/2014,"$18,333 ",$0 ,$0 ,$0 ,
7/30/2014,"$18,333 ",$0 ,$0 ,$0 ,
8/6/2014,"$18,333 ",$0 ,$0 ,$0 ,
8/13/2014,"$18,333 ",$0 ,$0 ,$0 ,
8/20/2014,"$18,333 ",$0 ,$0 ,$0 ,
8/27/2014,"$19,000 ",$0 ,$0 ,$0 ,
9/3/2014,"$19,000 ",$0 ,$0 ,$0 ,
9/10/2014,"$19,000 ",$0 ,$0 ,$0 ,
9/17/2014,"$19,667 ",$0 ,$0 ,$0 ,
9/29/2014,"$19,667 ",$0 ,$0 ,$0 ,
10/1/2014,"$19,667 ",$0 ,$0 ,$0 ,
10/8/2014,"$19,667 ",$0 ,$0 ,$0 ,
10/15/2014,"$19,667 ",$0 ,$0 ,$0 ,
10/22/2014,"$20,000 ",$0 ,$0 ,$0 ,
10/29/2014,"$20,000 ",$0 ,$0 ,$0 ,
11/5/2014,"$20,000 ",$0 ,$0 ,$0 ,
11/12/2014,"$20,000 ",$0 ,$0 ,$0 ,
11/19/2014,"$20,000 ",$0 ,$0 ,$0 ,
11/26/2014,"$20,000 ",$0 ,$0 ,$0 ,
12/3/2014,"$20,000 ",$0 ,$0 ,$0 ,
12/10/2014,"$20,000 ",$0 ,$0 ,$0 ,
12/17/2014,"$19,333 ",$0 ,$0 ,$0 ,
1/7/2015,"$18,667 ",$0 ,$0 ,$0 ,
1/14/2015,"$18,667 ",$0 ,$0 ,$0 ,
2/4/2015,"$18,000 ",$0 ,$0 ,$0 ,
2/11/2015,"$18,000 ",$0 ,$0 ,$0 ,
2/18/2015,"$18,000 ",$0 ,$0 ,$0 ,
2/25/2015,"$17,333 ",$0 ,$0 ,$0 ,
3/4/2015,"$17,333 ",$0 ,$0 ,$0 ,
3/11/2015,"$17,333 ",$0 ,$0 ,$0 ,
3/18/2015,"$17,333 ",$0 ,$0 ,$0 ,
3/25/2015,"$16,667 ",$0 ,$0 ,$0 ,
4/8/2015,"$16,667 ",$0 ,$0 ,$0 ,
4/15/2015,"$16,667 ",$0 ,$0 ,$0 ,
4/22/2015,"$16,667 ",$0 ,$0 ,$0 ,
4/29/2015,"$16,667 ",$0 ,$0 ,$0 ,
5/6/2015,"$16,667 ",$0 ,$0 ,$0 ,
5/13/2015,"$16,667 ",$0 ,$0 ,$0 ,
5/20/2015,"$17,000 ",$0 ,$0 ,$0 ,
5/27/2015,"$17,333 ",$0 ,$0 ,$0 ,
6/3/2015,"$18,000 ",$0 ,$0 ,$0 ,
6/10/2015,"$18,000 ",$0 ,$0 ,$0 ,
6/17/2015,"$18,000 ",$0 ,$0 ,$0 ,
6/24/2015,"$18,000 ",$0 ,$0 ,$0 ,
7/1/2015,"$18,000 ",$0 ,$0 ,$0 ,
7/8/2015,"$18,000 ",$0 ,$0 ,$0 ,
7/15/2015,"$18,333 ",$0 ,$0 ,$0 ,
7/22/2015,"$18,333 ",$0 ,$0 ,$0 ,
