Sector:,Liquid Propane Gas (LPG),,SGC-SR Small Gas Carriers,,,,
Input Sheet:,Fleet Data,,,,,,
Fleet:,SGC-Semi Refrigerated Gas Carrier,,,,,,
Frequency:,Weekly (Friday),,,,,,
Quandl:,LPG_R/SGC_SR,,,,,,
,,,,,,,
Conventions,,,,,,,
  Data are as of close of business on Fridays.,,,,,,,
"  Sources identify the document, site or origin where you got the data. If there are serveral of these, list them like this:  count from OneSource, dwt from AnotherSource",,,,,,,
  CBM values are the total for all vessels counted in reporting period.,,,,,,,
"  Generally these vessels are usuall carry cargo in the 6,000 CBM range.",,,,,,,
,,,,,,,
Date,Deliveries,Deliveries CBM,Demolitions,Demolitions CBM,New Orders,New Orders CBM,Sources
24-May-06,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated May 24, 2006 (Daiichi Chuo 1 LPG 78000 2009 / Yuyo Steamship 1 LPG 78000 2009)"
31-May-06,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated May 31, 2006"
7-Jun-06,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated June 7, 2006 ( Meiji Shipping Co 1 LPG 780000 2009)"
14-Jun-06,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated June 14, 2006"
21-Jun-06,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated June 21, 2006"
28-Jun-06,0,0,0,0,0,0,missing
5-Jul-06,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated July 5, 2006"
12-Jul-06,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated July 12, 2006 (Harpain Reederi 4 LPG/eth 17000 2009/2010 / Doun Kisen 1 VLGC 83000 2009)"
19-Jul-06,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated July 19, 2006 ( Stealth Gas Inc. 2 LPG 3300 2008)"
26-Jul-06,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated July 26, 2006 (Meiji Shipping Co. 78000 1 LPG 2010) "
2-Aug-06,0,0,0,0,0,0,missing
9-Aug-06,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated August 9, 2006"
16-Aug-06,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated August 16, 2006 (Petredec 2 LPG 22000 2008) "
23-Aug-06,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated August 23, 2006 (Sales and Purchase VLGC by Neu Seeschiffahrt built april 2009? 82000)"
30-Aug-06,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated August 30, 2006 (Geogas Trading 1+1 LPG 22500 2008) (Stealth Gas Inc 2LPG 84000 2009/2010)"
6-Sep-06,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated September 6, 2008"
13-Sep-06,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated September 13, 2006"
20-Sep-06,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated September 20, 2006 ( LG? 3 companys buy LG - Eletson 4 LG 35000 2009/2010 / Geogas Trading 1LG 22000 2008 / Pretredec 20000 2LG 2009)"
27-Sep-06,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated September 27, 2006 (Skaugen 3200 1 LPG 2008) "
4-Oct-06,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated October 4, 2006"
11-Oct-06,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated October 11, 2006 (Petredec 2 LPG 22500 2009"
18-Oct-06,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated October 18, 2006"
25-Oct-06,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated October 25, 2006"
1-Nov-06,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated November 1, 2006"
8-Nov-06,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated November 8, 2006"
15-Nov-06,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated November 15, 2006"
22-Nov-06,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated November 22, 2006 ( Stealthgas 2 LPG 3300 2008"
29-Nov-06,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated November 29, 2006"
6-Dec-06,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated December 6, 2006"
13-Dec-06,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated December 13, 2006"
20-Dec-06,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated December 20, 2006"
27-Dec-06,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated December 27, 2006"
3-Jan-07,0,0,1,"6,000",2,"17,000","Fearnley Weekly Report pdf dated January 3, 2007 ( LGR di Navigazione 2LPG 8500 2009 )(Demolition 1 LPG 6000)"
10-Jan-07,0,0,0,0,2,"16,000","Fearnley Weekly Report pdf dated January 10, 2007 ( Lauritzen Kosan 2 LPG 8000 2009)"
17-Jan-07,0,0,1,"6,000",3,"27,000","Fearnley Weekly Report pdf dated January 17, 2007 ( UNIGASInt. 3 LPG 9000 7-aug) (Demolition 1 LG 6000)"
24-Jan-07,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated January 24, 2007"
31-Jan-07,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated January 31, 2007 (Bernhard Schulte 1 LPG 23200 2010)"
7-Feb-07,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated February 7, 2007 ( Demolition 2 LPGs both 3500)"
14-Feb-07,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated February 14, 2007"
21-Feb-07,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated February 21, 2007"
28-Feb-07,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated February 28, 2007"
7-Mar-07,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated March 7, 2007 "
14-Mar-07,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated March 14, 2007 (Demolition 1 LPG/C 66,800 "
21-Mar-07,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated March 21, 2007"
28-Mar-07,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated March 28, 2007 (Sales and Purchase Stealthgas Gas suffix 2 5000 and 3500 built in 1994 and 1995)"
4-Apr-07,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated April 4, 2007 (Demolition 1 VLGC 77000)"
11-Apr-07,0,0,0,0,0,0," Fearnley Weekly Report pdf dated April 11, 2007"
18-Apr-07,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated April 18, 2007"
25-Apr-07,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated April 25, 2007 "
2-May-07,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated May 2, 2007 (Demolition 1 VLGC 54000) "
9-May-07,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated May 9, 2007"
16-May-07,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated May 16, 2007 ( Demolition 1 Gas 72000) ( Naftomar 2+1 LPG 22500 2010)"
23-May-07,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated May 23, 2007"
