Quandl Code|Date|Value
VLCC_TD3_DBBL|2000-Sep-13|1.9
VLCC_TD3_DBBL|2000-Sep-14|1.9
VLCC_TD3_DBBL|2000-Sep-15|1.96
VLCC_TD3_DBBL|2000-Sep-18|2
VLCC_TD3_DBBL|2000-Sep-19|2.03
VLCC_TD3_DBBL|2000-Sep-20|2.04
VLCC_TD3_DBBL|2000-Sep-21|2.13
VLCC_TD3_DBBL|2000-Sep-22|2.17
VLCC_TD3_DBBL|2000-Sep-25|2.2
VLCC_TD3_DBBL|2000-Sep-26|2.2
VLCC_TD3_DBBL|2000-Sep-27|2.1
VLCC_TD3_DBBL|2000-Sep-28|2.09
VLCC_TD3_DBBL|2000-Sep-29|2.06
VLCC_TD3_DBBL|2000-Oct-02|2.06
VLCC_TD3_DBBL|2000-Oct-03|2.03
VLCC_TD3_DBBL|2000-Oct-04|2.02
VLCC_TD3_DBBL|2000-Oct-05|1.99
VLCC_TD3_DBBL|2000-Oct-06|1.86
VLCC_TD3_DBBL|2000-Oct-09|1.84
VLCC_TD3_DBBL|2000-Oct-10|1.76
VLCC_TD3_DBBL|2000-Oct-11|1.69
VLCC_TD3_DBBL|2000-Oct-12|1.69
VLCC_TD3_DBBL|2000-Oct-13|1.7
VLCC_TD3_DBBL|2000-Oct-16|1.73
VLCC_TD3_DBBL|2000-Oct-17|1.86
VLCC_TD3_DBBL|2000-Oct-18|2.06
VLCC_TD3_DBBL|2000-Oct-19|2.16
VLCC_TD3_DBBL|2000-Oct-20|2.29
VLCC_TD3_DBBL|2000-Oct-23|2.4
VLCC_TD3_DBBL|2000-Oct-24|2.49
VLCC_TD3_DBBL|2000-Oct-25|2.5
VLCC_TD3_DBBL|2000-Oct-26|2.42
VLCC_TD3_DBBL|2000-Oct-27|2.42
VLCC_TD3_DBBL|2000-Oct-30|2.4
VLCC_TD3_DBBL|2000-Oct-31|2.42
VLCC_TD3_DBBL|2000-Nov-01|2.4
VLCC_TD3_DBBL|2000-Nov-02|2.43
VLCC_TD3_DBBL|2000-Nov-03|2.43
VLCC_TD3_DBBL|2000-Nov-06|2.44
VLCC_TD3_DBBL|2000-Nov-07|2.44
VLCC_TD3_DBBL|2000-Nov-08|2.43
VLCC_TD3_DBBL|2000-Nov-09|2.37
VLCC_TD3_DBBL|2000-Nov-10|2.39
VLCC_TD3_DBBL|2000-Nov-13|2.4
VLCC_TD3_DBBL|2000-Nov-14|2.44
VLCC_TD3_DBBL|2000-Nov-15|2.54
VLCC_TD3_DBBL|2000-Nov-16|2.56
VLCC_TD3_DBBL|2000-Nov-17|2.6
VLCC_TD3_DBBL|2000-Nov-20|2.64
VLCC_TD3_DBBL|2000-Nov-21|2.64
VLCC_TD3_DBBL|2000-Nov-22|2.64
VLCC_TD3_DBBL|2000-Nov-23|2.64
VLCC_TD3_DBBL|2000-Nov-24|2.64
VLCC_TD3_DBBL|2000-Nov-27|2.6
VLCC_TD3_DBBL|2000-Nov-28|2.57
VLCC_TD3_DBBL|2000-Nov-29|2.59
VLCC_TD3_DBBL|2000-Nov-30|2.59
VLCC_TD3_DBBL|2000-Dec-01|2.5
VLCC_TD3_DBBL|2000-Dec-04|2.47
VLCC_TD3_DBBL|2000-Dec-05|2.44
VLCC_TD3_DBBL|2000-Dec-06|2.34
VLCC_TD3_DBBL|2000-Dec-07|2.3
VLCC_TD3_DBBL|2000-Dec-08|2.3
VLCC_TD3_DBBL|2000-Dec-11|2.29
VLCC_TD3_DBBL|2000-Dec-12|2.3
VLCC_TD3_DBBL|2000-Dec-13|2.26
VLCC_TD3_DBBL|2000-Dec-14|2.23
VLCC_TD3_DBBL|2000-Dec-15|2.2
VLCC_TD3_DBBL|2000-Dec-18|2.22
VLCC_TD3_DBBL|2000-Dec-19|2.2
VLCC_TD3_DBBL|2000-Dec-20|2.19
VLCC_TD3_DBBL|2000-Dec-21|2.2
VLCC_TD3_DBBL|2000-Dec-22|2.19
VLCC_TD3_DBBL|2000-Dec-27|2.19
VLCC_TD3_DBBL|2000-Dec-28|2.19
VLCC_TD3_DBBL|2000-Dec-29|2.17
VLCC_TD3_DBBL|2001-Jan-02|2.15
VLCC_TD3_DBBL|2001-Jan-03|2.17
VLCC_TD3_DBBL|2001-Jan-04|2.14
VLCC_TD3_DBBL|2001-Jan-05|2.12
VLCC_TD3_DBBL|2001-Jan-08|2.05
VLCC_TD3_DBBL|2001-Jan-09|2
VLCC_TD3_DBBL|2001-Jan-10|1.95
VLCC_TD3_DBBL|2001-Jan-11|1.92
VLCC_TD3_DBBL|2001-Jan-12|1.88
VLCC_TD3_DBBL|2001-Jan-15|1.88
VLCC_TD3_DBBL|2001-Jan-16|1.87
VLCC_TD3_DBBL|2001-Jan-17|1.85
VLCC_TD3_DBBL|2001-Jan-18|1.8
VLCC_TD3_DBBL|2001-Jan-19|1.75
VLCC_TD3_DBBL|2001-Jan-22|1.73
VLCC_TD3_DBBL|2001-Jan-23|1.68
VLCC_TD3_DBBL|2001-Jan-24|1.56
VLCC_TD3_DBBL|2001-Jan-25|1.53
VLCC_TD3_DBBL|2001-Jan-26|1.53
VLCC_TD3_DBBL|2001-Jan-29|1.46
VLCC_TD3_DBBL|2001-Jan-30|1.41
VLCC_TD3_DBBL|2001-Jan-31|1.4
VLCC_TD3_DBBL|2001-Feb-01|1.4
VLCC_TD3_DBBL|2001-Feb-02|1.43
VLCC_TD3_DBBL|2001-Feb-05|1.46
VLCC_TD3_DBBL|2001-Feb-06|1.51
VLCC_TD3_DBBL|2001-Feb-07|1.51
VLCC_TD3_DBBL|2001-Feb-08|1.51
VLCC_TD3_DBBL|2001-Feb-09|1.53
VLCC_TD3_DBBL|2001-Feb-12|1.53
VLCC_TD3_DBBL|2001-Feb-13|1.53
VLCC_TD3_DBBL|2001-Feb-14|1.55
VLCC_TD3_DBBL|2001-Feb-15|1.55
VLCC_TD3_DBBL|2001-Feb-16|1.55
VLCC_TD3_DBBL|2001-Feb-19|1.53
VLCC_TD3_DBBL|2001-Feb-20|1.51
VLCC_TD3_DBBL|2001-Feb-21|1.53
VLCC_TD3_DBBL|2001-Feb-22|1.55
VLCC_TD3_DBBL|2001-Feb-23|1.53
VLCC_TD3_DBBL|2001-Feb-26|1.53
VLCC_TD3_DBBL|2001-Feb-27|1.51
VLCC_TD3_DBBL|2001-Feb-28|1.53
VLCC_TD3_DBBL|2001-Mar-01|1.55
VLCC_TD3_DBBL|2001-Mar-02|1.56
VLCC_TD3_DBBL|2001-Mar-05|1.58
VLCC_TD3_DBBL|2001-Mar-06|1.55
VLCC_TD3_DBBL|2001-Mar-07|1.58
VLCC_TD3_DBBL|2001-Mar-08|1.58
VLCC_TD3_DBBL|2001-Mar-09|1.6
VLCC_TD3_DBBL|2001-Mar-12|1.6
VLCC_TD3_DBBL|2001-Mar-13|1.63
VLCC_TD3_DBBL|2001-Mar-14|1.65
VLCC_TD3_DBBL|2001-Mar-15|1.67
VLCC_TD3_DBBL|2001-Mar-16|1.7
VLCC_TD3_DBBL|2001-Mar-19|1.72
VLCC_TD3_DBBL|2001-Mar-20|1.8
VLCC_TD3_DBBL|2001-Mar-21|1.78
VLCC_TD3_DBBL|2001-Mar-22|1.78
VLCC_TD3_DBBL|2001-Mar-23|1.75
VLCC_TD3_DBBL|2001-Mar-26|1.75
VLCC_TD3_DBBL|2001-Mar-27|1.73
VLCC_TD3_DBBL|2001-Mar-28|1.73
VLCC_TD3_DBBL|2001-Mar-29|1.73
VLCC_TD3_DBBL|2001-Mar-30|1.73
VLCC_TD3_DBBL|2001-Apr-02|1.72
VLCC_TD3_DBBL|2001-Apr-03|1.7
VLCC_TD3_DBBL|2001-Apr-04|1.7
VLCC_TD3_DBBL|2001-Apr-05|1.62
VLCC_TD3_DBBL|2001-Apr-06|1.62
VLCC_TD3_DBBL|2001-Apr-09|1.6
VLCC_TD3_DBBL|2001-Apr-10|1.56
VLCC_TD3_DBBL|2001-Apr-11|1.51
VLCC_TD3_DBBL|2001-Apr-12|1.51
VLCC_TD3_DBBL|2001-Apr-17|1.45
VLCC_TD3_DBBL|2001-Apr-18|1.45
VLCC_TD3_DBBL|2001-Apr-19|1.36
VLCC_TD3_DBBL|2001-Apr-20|1.31
VLCC_TD3_DBBL|2001-Apr-23|1.3
VLCC_TD3_DBBL|2001-Apr-24|1.28
VLCC_TD3_DBBL|2001-Apr-25|1.16
VLCC_TD3_DBBL|2001-Apr-26|0.98
VLCC_TD3_DBBL|2001-Apr-27|0.99
VLCC_TD3_DBBL|2001-Apr-30|0.96
VLCC_TD3_DBBL|2001-May-01|0.96
VLCC_TD3_DBBL|2001-May-02|0.99
VLCC_TD3_DBBL|2001-May-03|1.01
VLCC_TD3_DBBL|2001-May-04|1.06
VLCC_TD3_DBBL|2001-May-08|1.03
VLCC_TD3_DBBL|2001-May-09|1.03
VLCC_TD3_DBBL|2001-May-10|1.03
VLCC_TD3_DBBL|2001-May-11|1.03
VLCC_TD3_DBBL|2001-May-14|1.03
VLCC_TD3_DBBL|2001-May-15|1.01
VLCC_TD3_DBBL|2001-May-16|0.99
VLCC_TD3_DBBL|2001-May-17|0.98
VLCC_TD3_DBBL|2001-May-18|0.98
VLCC_TD3_DBBL|2001-May-21|0.96
VLCC_TD3_DBBL|2001-May-22|1.01
VLCC_TD3_DBBL|2001-May-23|1.03
VLCC_TD3_DBBL|2001-May-24|1.04
VLCC_TD3_DBBL|2001-May-25|1.04
VLCC_TD3_DBBL|2001-May-29|1.04
VLCC_TD3_DBBL|2001-May-30|1.04
VLCC_TD3_DBBL|2001-May-31|1.03
VLCC_TD3_DBBL|2001-Jun-01|1.03
VLCC_TD3_DBBL|2001-Jun-04|1.01
VLCC_TD3_DBBL|2001-Jun-05|0.99
VLCC_TD3_DBBL|2001-Jun-06|0.99
VLCC_TD3_DBBL|2001-Jun-07|0.98
VLCC_TD3_DBBL|2001-Jun-08|0.98
VLCC_TD3_DBBL|2001-Jun-11|0.91
VLCC_TD3_DBBL|2001-Jun-12|0.87
VLCC_TD3_DBBL|2001-Jun-13|0.86
VLCC_TD3_DBBL|2001-Jun-14|0.81
VLCC_TD3_DBBL|2001-Jun-15|0.74
VLCC_TD3_DBBL|2001-Jun-18|0.72
VLCC_TD3_DBBL|2001-Jun-19|0.69
VLCC_TD3_DBBL|2001-Jun-20|0.67
VLCC_TD3_DBBL|2001-Jun-21|0.67
VLCC_TD3_DBBL|2001-Jun-22|0.67
VLCC_TD3_DBBL|2001-Jun-25|0.67
VLCC_TD3_DBBL|2001-Jun-26|0.67
VLCC_TD3_DBBL|2001-Jun-27|0.67
VLCC_TD3_DBBL|2001-Jun-28|0.69
VLCC_TD3_DBBL|2001-Jun-29|0.69
VLCC_TD3_DBBL|2001-Jul-02|0.74
VLCC_TD3_DBBL|2001-Jul-03|0.74
VLCC_TD3_DBBL|2001-Jul-04|0.76
VLCC_TD3_DBBL|2001-Jul-05|0.77
VLCC_TD3_DBBL|2001-Jul-06|0.77
VLCC_TD3_DBBL|2001-Jul-09|0.77
VLCC_TD3_DBBL|2001-Jul-10|0.77
VLCC_TD3_DBBL|2001-Jul-11|0.84
VLCC_TD3_DBBL|2001-Jul-12|0.84
VLCC_TD3_DBBL|2001-Jul-13|0.86
VLCC_TD3_DBBL|2001-Jul-16|0.89
VLCC_TD3_DBBL|2001-Jul-17|0.91
VLCC_TD3_DBBL|2001-Jul-18|0.91
VLCC_TD3_DBBL|2001-Jul-19|0.91
VLCC_TD3_DBBL|2001-Jul-20|0.91
VLCC_TD3_DBBL|2001-Jul-23|0.91
VLCC_TD3_DBBL|2001-Jul-24|0.93
VLCC_TD3_DBBL|2001-Jul-25|0.94
VLCC_TD3_DBBL|2001-Jul-26|0.94
VLCC_TD3_DBBL|2001-Jul-27|0.94
VLCC_TD3_DBBL|2001-Jul-30|0.94
VLCC_TD3_DBBL|2001-Jul-31|0.89
