Quandl Code|Date|Value
OTNK/VLCC_TD3_TCE|2001-Apr-18|45,165
OTNK/VLCC_TD3_TCE|2001-Apr-19|41,804
OTNK/VLCC_TD3_TCE|2001-Apr-20|39,788
OTNK/VLCC_TD3_TCE|2001-Apr-23|38,752
OTNK/VLCC_TD3_TCE|2001-Apr-24|38,007
OTNK/VLCC_TD3_TCE|2001-Apr-25|33,156
OTNK/VLCC_TD3_TCE|2001-Apr-26|25,762
OTNK/VLCC_TD3_TCE|2001-Apr-27|26,434
OTNK/VLCC_TD3_TCE|2001-Apr-30|25,090
OTNK/VLCC_TD3_TCE|2001-May-01|25,017
OTNK/VLCC_TD3_TCE|2001-May-02|26,289
OTNK/VLCC_TD3_TCE|2001-May-03|26,888
OTNK/VLCC_TD3_TCE|2001-May-04|28,832
OTNK/VLCC_TD3_TCE|2001-May-08|27,415
OTNK/VLCC_TD3_TCE|2001-May-09|27,342
OTNK/VLCC_TD3_TCE|2001-May-10|27,269
OTNK/VLCC_TD3_TCE|2001-May-11|27,342
OTNK/VLCC_TD3_TCE|2001-May-14|27,415
OTNK/VLCC_TD3_TCE|2001-May-15|26,815
OTNK/VLCC_TD3_TCE|2001-May-16|26,216
OTNK/VLCC_TD3_TCE|2001-May-17|25,616
OTNK/VLCC_TD3_TCE|2001-May-18|25,689
OTNK/VLCC_TD3_TCE|2001-May-21|25,090
OTNK/VLCC_TD3_TCE|2001-May-22|27,179
OTNK/VLCC_TD3_TCE|2001-May-23|27,924
OTNK/VLCC_TD3_TCE|2001-May-24|28,669
OTNK/VLCC_TD3_TCE|2001-May-25|28,742
OTNK/VLCC_TD3_TCE|2001-May-29|28,814
OTNK/VLCC_TD3_TCE|2001-May-30|28,887
OTNK/VLCC_TD3_TCE|2001-May-31|28,288
OTNK/VLCC_TD3_TCE|2001-Jun-01|28,361
OTNK/VLCC_TD3_TCE|2001-Jun-04|27,761
OTNK/VLCC_TD3_TCE|2001-Jun-05|27,162
OTNK/VLCC_TD3_TCE|2001-Jun-06|27,235
OTNK/VLCC_TD3_TCE|2001-Jun-07|26,635
OTNK/VLCC_TD3_TCE|2001-Jun-08|26,708
OTNK/VLCC_TD3_TCE|2001-Jun-11|24,092
OTNK/VLCC_TD3_TCE|2001-Jun-12|22,820
OTNK/VLCC_TD3_TCE|2001-Jun-13|22,221
OTNK/VLCC_TD3_TCE|2001-Jun-14|20,277
OTNK/VLCC_TD3_TCE|2001-Jun-15|17,661
OTNK/VLCC_TD3_TCE|2001-Jun-18|17,062
OTNK/VLCC_TD3_TCE|2001-Jun-19|15,790
OTNK/VLCC_TD3_TCE|2001-Jun-20|15,045
OTNK/VLCC_TD3_TCE|2001-Jun-21|14,972
OTNK/VLCC_TD3_TCE|2001-Jun-22|14,900
OTNK/VLCC_TD3_TCE|2001-Jun-25|14,827
OTNK/VLCC_TD3_TCE|2001-Jun-26|14,754
OTNK/VLCC_TD3_TCE|2001-Jun-27|14,681
OTNK/VLCC_TD3_TCE|2001-Jun-28|15,281
OTNK/VLCC_TD3_TCE|2001-Jun-29|15,208
OTNK/VLCC_TD3_TCE|2001-Jul-02|17,152
OTNK/VLCC_TD3_TCE|2001-Jul-03|17,079
OTNK/VLCC_TD3_TCE|2001-Jul-04|17,678
OTNK/VLCC_TD3_TCE|2001-Jul-05|18,351
OTNK/VLCC_TD3_TCE|2001-Jul-06|18,351
OTNK/VLCC_TD3_TCE|2001-Jul-09|18,351
OTNK/VLCC_TD3_TCE|2001-Jul-10|18,351
OTNK/VLCC_TD3_TCE|2001-Jul-11|21,039
OTNK/VLCC_TD3_TCE|2001-Jul-12|21,039
OTNK/VLCC_TD3_TCE|2001-Jul-13|21,712
OTNK/VLCC_TD3_TCE|2001-Jul-16|23,056
OTNK/VLCC_TD3_TCE|2001-Jul-17|23,692
OTNK/VLCC_TD3_TCE|2001-Jul-18|23,655
OTNK/VLCC_TD3_TCE|2001-Jul-19|23,619
OTNK/VLCC_TD3_TCE|2001-Jul-20|23,583
OTNK/VLCC_TD3_TCE|2001-Jul-23|23,546
OTNK/VLCC_TD3_TCE|2001-Jul-24|24,182
OTNK/VLCC_TD3_TCE|2001-Jul-25|24,818
OTNK/VLCC_TD3_TCE|2001-Jul-26|24,781
OTNK/VLCC_TD3_TCE|2001-Jul-27|24,745
OTNK/VLCC_TD3_TCE|2001-Jul-30|24,709
OTNK/VLCC_TD3_TCE|2001-Jul-31|22,656
OTNK/VLCC_TD3_TCE|2001-Aug-01|21,947
OTNK/VLCC_TD3_TCE|2001-Aug-02|21,911
OTNK/VLCC_TD3_TCE|2001-Aug-03|21,874
OTNK/VLCC_TD3_TCE|2001-Aug-06|21,838
OTNK/VLCC_TD3_TCE|2001-Aug-07|21,802
OTNK/VLCC_TD3_TCE|2001-Aug-08|19,749
OTNK/VLCC_TD3_TCE|2001-Aug-09|17,696
OTNK/VLCC_TD3_TCE|2001-Aug-10|16,315
OTNK/VLCC_TD3_TCE|2001-Aug-13|14,262
OTNK/VLCC_TD3_TCE|2001-Aug-14|14,226
OTNK/VLCC_TD3_TCE|2001-Aug-15|14,189
OTNK/VLCC_TD3_TCE|2001-Aug-16|14,153
OTNK/VLCC_TD3_TCE|2001-Aug-17|15,461
OTNK/VLCC_TD3_TCE|2001-Aug-20|21,474
OTNK/VLCC_TD3_TCE|2001-Aug-21|23,454
OTNK/VLCC_TD3_TCE|2001-Aug-22|25,434
OTNK/VLCC_TD3_TCE|2001-Aug-23|26,742
OTNK/VLCC_TD3_TCE|2001-Aug-24|28,723
OTNK/VLCC_TD3_TCE|2001-Aug-28|28,014
OTNK/VLCC_TD3_TCE|2001-Aug-29|27,978
OTNK/VLCC_TD3_TCE|2001-Aug-30|27,941
OTNK/VLCC_TD3_TCE|2001-Aug-31|27,233
OTNK/VLCC_TD3_TCE|2001-Sep-03|27,196
OTNK/VLCC_TD3_TCE|2001-Sep-04|27,160
OTNK/VLCC_TD3_TCE|2001-Sep-05|27,123
OTNK/VLCC_TD3_TCE|2001-Sep-06|27,087
OTNK/VLCC_TD3_TCE|2001-Sep-07|26,379
OTNK/VLCC_TD3_TCE|2001-Sep-10|27,014
OTNK/VLCC_TD3_TCE|2001-Sep-11|33,700
OTNK/VLCC_TD3_TCE|2001-Sep-12|35,008
OTNK/VLCC_TD3_TCE|2001-Sep-13|38,496
OTNK/VLCC_TD3_TCE|2001-Sep-14|42,656
OTNK/VLCC_TD3_TCE|2001-Sep-17|42,112
OTNK/VLCC_TD3_TCE|2001-Sep-18|40,895
OTNK/VLCC_TD3_TCE|2001-Sep-19|41,022
OTNK/VLCC_TD3_TCE|2001-Sep-20|45,855
OTNK/VLCC_TD3_TCE|2001-Sep-21|47,998
OTNK/VLCC_TD3_TCE|2001-Sep-24|48,126
OTNK/VLCC_TD3_TCE|2001-Sep-25|48,253
OTNK/VLCC_TD3_TCE|2001-Sep-26|47,708
OTNK/VLCC_TD3_TCE|2001-Sep-27|47,164
OTNK/VLCC_TD3_TCE|2001-Sep-28|47,291
OTNK/VLCC_TD3_TCE|2001-Oct-01|45,983
OTNK/VLCC_TD3_TCE|2001-Oct-02|45,983
OTNK/VLCC_TD3_TCE|2001-Oct-03|45,311
OTNK/VLCC_TD3_TCE|2001-Oct-04|44,094
OTNK/VLCC_TD3_TCE|2001-Oct-05|43,549
OTNK/VLCC_TD3_TCE|2001-Oct-08|40,315
OTNK/VLCC_TD3_TCE|2001-Oct-09|39,098
OTNK/VLCC_TD3_TCE|2001-Oct-10|38,513
OTNK/VLCC_TD3_TCE|2001-Oct-11|37,929
OTNK/VLCC_TD3_TCE|2001-Oct-12|37,344
OTNK/VLCC_TD3_TCE|2001-Oct-15|34,742
OTNK/VLCC_TD3_TCE|2001-Oct-16|32,813
