Date,TCE
2002-May-07,"12,806"
2002-May-08,"12,806"
2002-May-09,"12,806"
2002-May-10,"13,462"
2002-May-13,"14,773"
2002-May-14,"16,085"
2002-May-15,"18,708"
2002-May-16,"25,264"
2002-May-17,"27,231"
2002-May-20,"27,887"
2002-May-21,"26,576"
2002-May-22,"26,576"
2002-May-23,"25,920"
2002-May-24,"23,953"
2002-May-27,"23,297"
2002-May-28,"19,363"
2002-May-29,"18,708"
2002-May-30,"18,052"
2002-May-31,"17,396"
2002-Jun-05,"16,085"
2002-Jun-06,"15,429"
2002-Jun-07,"14,118"
2002-Jun-10,"10,184"
2002-Jun-11,"9,528"
2002-Jun-12,"9,528"
2002-Jun-13,"8,217"
2002-Jun-14,"8,217"
2002-Jun-17,"8,144"
2002-Jun-18,"7,416"
2002-Jun-19,"7,343"
2002-Jun-20,"7,270"
2002-Jun-21,"7,197"
2002-Jun-24,"5,813"
2002-Jun-25,"5,740"
2002-Jun-26,"5,668"
2002-Jun-27,"5,668"
2002-Jun-28,"5,668"
2002-Jul-01,"6,323"
2002-Jul-02,"6,979"
2002-Jul-03,"6,979"
2002-Jul-04,"6,979"
2002-Jul-05,"7,635"
2002-Jul-08,"7,489"
2002-Jul-09,"7,489"
2002-Jul-10,"7,489"
2002-Jul-11,"7,489"
2002-Jul-12,"8,145"
2002-Jul-15,"8,800"
2002-Jul-16,"16,668"
2002-Jul-17,"18,635"
2002-Jul-18,"19,291"
2002-Jul-19,"18,635"
2002-Jul-22,"17,980"
2002-Jul-23,"17,324"
2002-Jul-24,"16,668"
2002-Jul-25,"14,701"
2002-Jul-26,"14,046"
2002-Jul-29,"10,767"
2002-Jul-30,"10,767"
2002-Jul-31,"10,767"
2002-Aug-01,"10,767"
2002-Aug-02,"11,423"
2002-Aug-05,"11,423"
2002-Aug-06,"11,423"
2002-Aug-07,"10,767"
2002-Aug-08,"10,767"
2002-Aug-09,"9,456"
2002-Aug-12,"8,800"
2002-Aug-13,"7,489"
2002-Aug-14,"6,178"
2002-Aug-15,"6,178"
2002-Aug-16,"5,449"
2002-Aug-19,"5,376"
2002-Aug-20,"4,648"
2002-Aug-21,"5,231"
2002-Aug-22,"5,158"
2002-Aug-23,"5,085"
2002-Aug-27,"5,668"
2002-Aug-28,"6,907"
2002-Aug-29,"8,145"
2002-Aug-30,"8,728"
2002-Sep-02,"9,311"
2002-Sep-03,"9,238"
2002-Sep-04,"8,510"
2002-Sep-05,"7,782"
2002-Sep-06,"7,053"
2002-Sep-09,"6,325"
2002-Sep-10,"6,252"
2002-Sep-11,"5,523"
2002-Sep-12,"5,596"
2002-Sep-13,"6,980"
2002-Sep-16,"7,709"
2002-Sep-17,"7,782"
2002-Sep-18,"9,821"
2002-Sep-19,"10,550"
2002-Sep-20,"12,590"
2002-Sep-23,"13,282"
2002-Sep-24,"14,629"
2002-Sep-25,"14,666"
2002-Sep-26,"14,046"
2002-Sep-27,"14,739"
2002-Sep-30,"14,119"
2002-Oct-01,"14,156"
2002-Oct-02,"14,848"
2002-Oct-03,"14,884"
2002-Oct-04,"16,887"
2002-Oct-07,"18,235"
2002-Oct-08,"22,861"
2002-Oct-09,"30,110"
2002-Oct-10,"32,113"
2002-Oct-11,"32,806"
2002-Oct-14,"34,809"
2002-Oct-15,"39,435"
2002-Oct-16,"49,306"
2002-Oct-17,"51,310"
2002-Oct-18,"51,346"
2002-Oct-21,"50,071"
2002-Oct-22,"49,452"
2002-Oct-23,"48,833"
2002-Oct-24,"47,558"
