Date,Spot Market ($/day),t.b.d.,t.b.d.,t.b.d.,Sources,,
"April 11, 2012","$17,667",$0,$0,$0,,,
"April 18, 2012","$18,333",$0,$0,$0,,,
"April 25, 2012","$18,333",$0,$0,$0,,,
"May 2, 2012","$19,000",$0,$0,$0,,,
"May 9, 2012","$19,000",$0,$0,$0,,,
"May 16, 2012","$19,333",$0,$0,$0,,,
"May 23, 2012","$20,000",$0,$0,$0,,,
"May 30, 2012","$20,000",$0,$0,$0,,,
"June 6, 2012","$20,000",$0,$0,$0,,,
"June 13, 2012","$20,000",$0,$0,$0,,,
"June 20, 2012","$20,000",$0,$0,$0,,,
"June 27, 2012","$20,000",$0,$0,$0,,,
"July 4, 2012","$20,000",$0,$0,$0,,,
"July 11, 2012","$19,333",$0,$0,$0,,,
"July 18, 2012","$19,333",$0,$0,$0,,,
"July 25, 2012","$19,333",$0,$0,$0,,,
"August 1, 2012","$19,333",$0,$0,$0,,,
"August 8, 2012","$18,667",$0,$0,$0,,,
"August 15, 2012","$18,000",$0,$0,$0,,,
"August 22, 2012","$18,000",$0,$0,$0,,,
"August 29, 2012","$18,000",$0,$0,$0,,,
"September 5, 2012","$18,000",$0,$0,$0,,,
"September 12, 2012","$18,333",$0,$0,$0,,,
"September 19, 2012","$18,333",$0,$0,$0,,,
"September 26, 2012","$18,333",$0,$0,$0,,,
"October 3, 2012","$18,333",$0,$0,$0,,,
"October 10, 2012","$18,333",$0,$0,$0,,,
"October 17, 2012","$18,333",$0,$0,$0,,,
"October 24, 2012","$19,000",$0,$0,$0,,,
"October 31, 2012","$19,000",$0,$0,$0,,,
"November 7, 2012","$19,000",$0,$0,$0,,,
"November 14, 2012","$19,667",$0,$0,$0,,,
"November 21, 2012",#N/A,$0,$0,$0,,,
"November 28, 2012","$19,667",$0,$0,$0,,,
"December 5, 2012","$19,667",$0,$0,$0,,,
"December 12, 2012","$19,667",$0,$0,$0,,,
"December 19, 2012","$20,000",$0,$0,$0,,,
"December 26, 2012","$20,000",$0,$0,$0,,,
"January 2, 2013","$20,000",$0,$0,$0,,,
"January 9, 2013","$20,000",$0,$0,$0,,,
"January 16, 2013","$20,000",$0,$0,$0,,,
"January 23, 2013","$20,000",$0,$0,$0,,,
"January 30, 2013","$20,000",$0,$0,$0,,,
"February 6, 2013","$20,000",$0,$0,$0,,,
"February 13, 2013","$19,333",$0,$0,$0,,,
"February 20, 2013",#N/A,$0,$0,$0,,,
"February 27, 2013",#N/A,$0,$0,$0,,,
"March 6, 2013","$18,667",$0,$0,$0,,,
"March 13, 2013","$18,667",$0,$0,$0,,,
"March 20, 2013",#N/A,$0,$0,$0,,,
"March 27, 2013",#N/A,$0,$0,$0,,,
"April 3, 2013","$18,000",$0,$0,$0,,,
"April 10, 2013","$18,000",$0,$0,$0,,,
"April 17, 2013","$18,000",$0,$0,$0,,,
"April 24, 2013","$17,333",$0,$0,$0,,,
"May 1, 2013","$17,333",$0,$0,$0,,,
"May 8, 2013","$17,333",$0,$0,$0,,,
"May 15, 2013","$17,333",$0,$0,$0,,,
"May 22, 2013","$16,667",$0,$0,$0,,,
"May 29, 2013",#N/A,$0,$0,$0,,,
"June 5, 2013","$16,667",$0,$0,$0,,,
"June 12, 2013","$16,667",$0,$0,$0,,,
"June 19, 2013","$16,667",$0,$0,$0,,,
